name,email,game,msg
asas,zah.info@yahoo.com,Black Butterflies,mm
denis,zah.info@yahoo.com,Kitty Pop,ujohhhhhh;
h,zah.info@yahoo.com,Dream of Desert,ilhlj.ll
mmmmmmm,zah.info@yahoo.com,Black Butterflies,jb.b.jhgb.l.
assas,zah.info@yahoo.com,Black Butterflies,kjjjj
asas,mmm@ss.com,Black Butterflies,kljg.g
mm,zah.info@yahoo.com,Black Butterflies,khh
mm,zah.info@yahoo.com,Black Butterflies,khh
jnbj,zah.info@yahoo.com,Black Butterflies,jmj
mm,zah.info@yahoo.com,Kitty Pop,knljk
asas,mmm@ss.com,Salad Story,sssssssssss
denis,mmm@ss.com,Traitor's Quest,jhlj
denis,zah.info@yahoo.com,Black Butterflies,jjjjjjj
Maria,zah.info@yahoo.com,Salad Story,hello i like this game 
zahra,zah.info@s.com,Dream of Desert,hello this is good
elahe,e.nikbakht70@gmail.com,Dream of Desert,hello I love this game this is very good
asas,mmm@ss.com,Kitty Pop,opjpijki
denis,mmm@ss.com,Unreality,mm
asas,mmm@ss.com,Black Butterflies,uouhkiyh
zahra,zah.info@yahoo.com,Kitty Pop,hhghghg
